origin	dest	capacity	length	fft	alpha	beta	speedLimit	LinkType	NMoto	NCar
5133	5113	1950	0.1	0.14634146341463414	1.5577	3.6819	0	4	0	0
5153	5155	1950	0.04	0.058536585365853655	1.5577	3.6819	0	4	0	0
5155	5152	1950	0.06	0.08780487804878048	1.5577	3.6819	0	4	0	0
5155	5110	910	0.07	0.10243902439024391	1.5577	3.6819	0	6	0	0
5108	17127	1950	0.13	0.1902439024390244	1.5577	3.6819	0	4	0	0
5144	5089	1950	0.23	0.33658536585365856	1.5577	3.6819	0	4	0	0
5104	5106	1450	0.95	1.14	1.1507	3.7967	0	5	0	0
5158	26560	1450	0.35	0.41999999999999993	1.1507	3.7967	0	5	0	0
5106	30815	1450	1.18	1.416	1.1507	3.7967	0	5	0	0
5156	35222	2940	0.31	0.372	1.1507	3.7967	0	3	0	0
5160	13957	1570	0.52	0.624	3.76	3.29	0	4	0	0
5161	13956	1570	0.32	0.384	3.76	3.29	0	5	0	0
5162	10111	1570	3.1	3.7199999999999998	3.76	3.29	0	5	0	0
16639	16638	1570	0.03	0.036	3.76	3.29	0	4	0	0
5170	5171	2490	0.32	0.6	1.5554	3.829	0	4	0	0
5172	13985	1650	0.67	1.25625	1.5554	3.829	0	6	0	0
5170	9357	1860	0.599896	0.7198752	1.1507	3.7967	0	5	0	0
5177	5178	8300	0.792404	0.4571561538461538	0.885	4.8323	0	1	1	0
5179	5180	8300	0.783648	0.4521046153846154	0.885	4.8323	0	1	1	0
5177	5181	2300	0.420305	0.48496730769230767	0.8208	4.9382	0	1	1	0
5174	5180	2300	0.410227	0.4733388461538462	0.8208	4.9382	0	1	1	0
5174	5181	2790	0.17	0.31875000000000003	1.5554	3.829	0	6	0	0
5183	14028	1850	0.31	0.58125	1.5554	3.829	0	6	0	0
5184	5185	4300	0.532047	0.3069501923076923	0.885	4.8323	0	1	1	0
5186	5187	4300	0.453282	0.2615088461538461	0.885	4.8323	0	1	1	0
